02302823V;Maria;01/01/1970;maria@gmail.com;618789076;Ávila;maria;Tarjeta sin registrar
02317715M;Julia;01/01/1970;julia@gmail.com;678532345;Zamora;julia;Tarjeta sin registrar
02588560W;Andrea;10/07/1990;andrea@gmail.com;689345890;Cuenca;andrea;Tarjeta sin registrar
02574620T;Lucia;10/01/1970;lucia@gmail.com;653129098;Madrid;lucia;Tarjeta sin registrar
02582694R;Sandra;14/12/2009;sandra@gmail.com;631224567;Valladolid;sandra;Tarjeta sin registrar
02717390D;Sara;03/04/1995;sara@gmail.com;646768096;Segovia;sara;Tarjeta sin registrar
02747669C;Ane;22/07/2004;ane@gmail.com;678954312;Albacete;ane;Tarjeta sin registrar
02756637H;Natalia;16/08/2009;natalia@gmail.com;674121234;Asturias;natalia;Tarjeta sin registrar
02767040W;Laura;12/07/2010;laura@gmail.com;612439878;A_Coruña;laura;Tarjeta sin registrar
03184043S;Javier;11/08/1997;javier@gmail.com;687754324;Álava;javier;Tarjeta sin registrar
03202993J;Aitor;27/08/2006;aitor@gmail.com;643467908;Badajoz;aitor;Tarjeta sin registrar
03942490Z;Lucas;27/09/1998;lucas@gmail.com;643567805;Badajoz;lucas;Tarjeta sin registrar
03955671Q;Ander;25/10/2001;ander@gmail.com;609008234;Álava;ander;Tarjeta sin registrar
03958689K;Ana;06/06/2003;ana@gmail.com;678432167;Vizcaya;ana;Tarjeta sin registrar
04863591B;Laura;14/11/2001;laura@gmail.com;689864312;Almería;laura;Tarjeta sin registrar
05323057Y;Luis;14/08/1999;luis@gmail.com;675854312;Asturias;luis;Tarjeta sin registrar
05442340B;Pablo;14/06/2010;pablo@gmail.com;657678954;Castellón;pablo;Tarjeta sin registrar
