<<<<<<< HEAD
<<<<<<< HEAD
n;n;01-01-1970;n;n
=======
5928;Zaloa;12-11-0003;a@a.com;a
a;a;12-12-1212;a;a
12345P;Janire;25-03-2004;janire@gmail.com;qwerty
q;q;12-12-1212;q;q
d;j;12-12-0012;d;j
>>>>>>> branch 'master' of https://github.com/sararegalado/NatiShop.git
=======
02302823V;Maria;01-01-1970;maria@gmail.com;618789076;Ávila;maria
02317715M;Julia;01-01-1970;julia@gmail.com;678532345;Zamora;julia
02588560W;Andrea;10-07-1990;andrea@gmail.com;689345890;Cuenca;andrea
02574620T;Lucia;10-01-1970;lucia@gmail.com;653129098;Madrid;lucia
02582694R;Sandra;14-12-2009;sandra@gmail.com;631224567;Valladolid;sandra
02717390D;Sara;03-04-1995;sara@gmail.com;646768096;Segovia;sara
02747669C;Ane;22-07-2004;ane@gmail.com;678954312;Albacete;ane
02756637H;Natalia;16-08-2009;natalia@gmail.com;674121234;Asturias;natalia
02767040W;Laura;12-07-2010;laura@gmail.com;612439878;A_Coruña;laura
03184043S;Javier;11-08-1997;javier@gmail.com;687754324;Álava;javier
03202993J;Aitor;27-08-2006;aitor@gmail.com;643467908;Badajoz;aitor
03942490Z;Lucas;27-09-1998;lucas@gmail.com;643567805;Badajoz;lucas
03955671Q;Ander;25-10-2001;ander@gmail.com;609008234;Álava;ander
03958689K;Ana;06-06-2003;ana@gmail.com;678432167;Vizcaya;ana
04863591B;Laura;14-11-2001;laura@gmail.com;689864312;Almería;laura
05323057Y;Luis;14-08-1999;luis@gmail.com;675854312;Asturias;luis
05442340B;Pablo;14-06-2010;pablo@gmail.com;657678954;Castellón;pablo
>>>>>>> branch 'master' of https://github.com/sararegalado/NatiShop.git
